"0805.3855","Xiangcun Meng","Xiangcun Meng, Xuefei Chen and Zhanwen Han","The single degenerate channel for the progenitor of type Ia supernovae","4 pages, 4 figures, oral talk, to appear in the Proceedings of IAU
  Symp. 252 ""The Art of Modelling Stars in the 21st Century"", Sanya, China,
  6th-11th April 2008, (L. Deng, K.L. Chan & C. Chiosi, eds.)",,"10.1017/S1743921308023259",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We have carried out a detailed study of the single-degenerate channel for the
progenitors of type Ia supernovae (SNe Ia). In the model, a carbon-oxygen white
dwarf (CO WD) accretes hydrogen-rich material from an unevolved or a slightly
evolved non-degenerate companion to increase its mass to Chandrasekhar mass
limit. Incorporating the prescription of \cite{HAC99a} for the accretion
efficiency into Eggleton's stellar evolution code and assuming that the
prescription is valid for all metallicities, we performed binary stellar
evolution calculations for more than 25,000 close WD binary systems with
various metallicities. The initial parameter spaces for SNe Ia are presented in
an orbital period-secondary mass ($\log P_{\rm i}, M_{\rm 2}^{\rm i}$) plane
for each $Z$.
  Adopting the results above, we studied the birth rate of SNe Ia for various
$Z$ via binary population synthesis. From the study, we see that for a high
$Z$, SNe Ia occur systemically earlier and the peak value of the birth rate is
larger if a single starburst is assumed. The Galactic birth rate from the
channel is lower than (but comparable to) that inferred from observations.
  We also showed the distributions of the parameters of the binary systems at
the moment of supernova explosion and the distributions of the properties of
companions after supernova explosion. The former provides physics input to
simulate the interaction between supernova ejecta and its companion, and the
latter is helpful to search for the companions in supernova remnants.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 01:07:24 GMT""}]","2009-11-13"
"0805.3856","Zhai Wenguang","Wenguang Zhai","On the error term in Weyl's law for the Heisenberg manifolds","45 Pages",,,,"math.OC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  For a fixed integer $l\geq 1$, let $R(t)$ denote the error term in the Weyl's
law of a $(2l+1)$-dimensional Heisenberg manifold with the metric $g_l.$ In
this paper we shall prove the asymptotic formula of the $k$-th power moment for
any integers $3\leq k\leq 9.$ We shall also prove that the function
$t^{-(l-1/4)}R(t)$ has a distribution function.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 01:40:25 GMT""}]","2008-05-27"
"0805.3858","An-Ping Li","An-Ping Li","A New Type of Cipher: DICING_csb","There is a new variant added in the section 5",,,,"cs.CR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we will propose a new type of cipher named DICING_csb, which
is derived from our previous stream cipher DICING. It has applied a stream of
subkey and an encryption form of block ciphers, so it may be viewed as a
combinative of stream cipher and block cipher. Hence, the new type of cipher
has fast rate like a stream cipher and need no MAC.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 02:09:32 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 2008 01:13:20 GMT""}]","2009-03-21"
"0805.3859","Garret Sobczyk","Garret Sobczyk, Tolga Yarman","Principle of Local Conservation of Energy-Momentum","13 pages, 4 figures",,,,"math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Starting with Einstein's theory of special relativity and the principle that
whenever a celestial body or an elementary particle, subjected only to the
fundamental forces of nature, undergoes a change in its kinetic energy then the
mass-energy equivalent of that kinetic energy must be subtracted from the
rest-mass of the body or particle, we derive explicit equations of motion for
two falling bodies. In the resulting mathematical theory we find that there are
no singularities and consequently no blackholes.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 02:18:38 GMT""}]","2008-05-27"
"0805.3860","Ramachandran Gowravaram","Yee Yee Oo, Phyu Phyu San, M. Sampoorna, K. N. Nagendra and G.
  Ramachandran","Polarization phase matrices for radiation scattering on atoms in
  external magnetic fields: The case of forbidden transitions in astrophysics","14 pages 3 figures",,,,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Using a quantum electrodynamical approach, we derive the scattering phase
matrices for polarized radiation involving forbidden line transitions and in
the presence of an external magnetic field. The case of (J=0->2->0) scattering
is considered as an example. The non-magnetic Rayleigh scattering phase matrix
is also presented. The Stokes profiles in a single scattering event are
computed for the strong field (Zeeman) and weak field (Hanle) limits, covering
also the regime of intermediate field strengths (Hanle- Zeeman).
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 02:20:55 GMT""}]","2008-05-27"
"0805.3861","Vladimir Ivancevic","Vladimir G. Ivancevic and Eugene V. Aidman","Life-Space Foam: a Medium for Motivational and Cognitive Dynamics","25 pages, 2 figures, elsart","Physica A 382, 616-630, (2007)","10.1016/j.physa.2007.04.025",,"q-bio.NC q-bio.QM","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  General stochastic dynamics, developed in a framework of Feynman path
integrals, have been applied to Lewinian field--theoretic psychodynamics,
resulting in the development of a new concept of life--space foam (LSF) as a
natural medium for motivational and cognitive psychodynamics. According to LSF
formalisms, the classic Lewinian life space can be macroscopically represented
as a smooth manifold with steady force-fields and behavioral paths, while at
the microscopic level it is more realistically represented as a collection of
wildly fluctuating force-fields, (loco)motion paths and local geometries (and
topologies with holes). A set of least-action principles is used to model the
smoothness of global, macro-level LSF paths, fields and geometry. To model the
corresponding local, micro-level LSF structures, an adaptive path integral is
used, defining a multi-phase and multi-path (multi-field and multi-geometry)
transition process from intention to goal-driven action. Application examples
of this new approach include (but are not limited to) information processing,
motivational fatigue, learning, memory and decision-making.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 02:21:45 GMT""}]","2009-11-13"
"0805.3862","Kazuharu Bamba","Kazuharu Bamba, Nobuyoshi Ohta, and Shinji Tsujikawa","Generic estimates for magnetic fields generated during inflation
  including Dirac-Born-Infeld theories","7 pages, no figure, accepted in Phys. Rev. D","Phys.Rev.D78:043524,2008","10.1103/PhysRevD.78.043524","KU-TP 022","astro-ph gr-qc hep-ph hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We estimate the strength of large-scale magnetic fields produced during
inflation in the framework of Dirac-Born-Infeld (DBI) theories. This analysis
is sufficiently general in the sense that it covers most of conformal symmetry
breaking theories in which the electromagnetic field is coupled to a scalar
field. In DBI theories there is an additional factor associated with the speed
of sound, which allows a possibility to lead to an extra amplification of the
magnetic field in a ultra-relativistic region. We clarify the conditions under
which seed magnetic fields to feed the galactic dynamo mechanism at a
decoupling epoch as well as present magnetic fields on galactic scales are
sufficiently generated to satisfy observational bounds.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 03:53:55 GMT""},{""version"":""v2"",""created"":""Fri, 25 Jul 2008 03:49:36 GMT""}]","2010-05-12"
"0805.3864","Reijirou Fukuda","R. Fukuda","Derivation of Dielectric Model of Confinement in QCD","8 pages, 1 Figure",,,,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Phenomenological model for confining Lagrangian based on the perfect
dia-electric property of the vacuum of QCD, proposed by Kogut-Susskind and by
't Hooft, is derived by the stability of the condensed vacuum.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 02:58:35 GMT""}]","2008-05-27"
"0805.3865","Terekidi","Andrei G. Terekidi, Jurij W. Darewych, Marko Horbatsch","Relativistic corrections to the Zeeman splitting of hyperfine structure
  levels in two-fermion bound-state systems","11 pages",,,,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A relativistic theory of the Zeeman splitting of hyperfine levels in
two-fermion systems is presented. The approach is based on the variational
equation for bound states derived from quantum electrodynamics [1].
Relativistic corrections to the g-factor are obtained up to O(alpha^2).
Calculations are provided for all quantum states and for arbitrary fermionic
mass ratio. In the one-body limit our calculations reproduce the formula for
the g-factor (to O((Z*alpha)^2)) obtained from the Dirac equation. The results
will be useful for comparison with high-precision measurements.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 03:11:51 GMT""}]","2008-05-27"
"0805.3866","Kay Kinoshita","K. Kinoshita","Results from Upsilon(5S) at Belle: Strange Beauty and other Beasts","5 pages, talk presented at the Lake Louise Winter Institute, 18-23
  February, 2008",,"10.1142/9789814280945_0034","UCHEP-08-02","hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Belle experiment collected in 2005-6 a total of 23.6 fb$^{-1}$ of data at
the $\Upsilon(10860)$ resonance, also known as $\Upsilon$(5S). These constitute
nearly all of the world's sample of $e^+e^- \to \Upsilon$(10860) events, which
provide clean $B_s$ pairs. We present here several $B_s$ and $\Upsilon$(10860)
properties recently extracted from these data.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 03:20:01 GMT""}]","2017-08-23"
"0805.3867","Duanlu Zhou","D.L. Zhou","Correlation in states of two identical particles","3.6 pages","EPL 88 (2009) 10006","10.1209/0295-5075/88/10006",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We identify the correlation in a state of two identical particles as the
residual information beyond what is already contained in the 1-particle reduced
density matrix, and propose a correlation measure based on the maximum entropy
principle. We obtain the analytical results of the correlation measure, which
make it computable for arbitrary two-particle states. We also show that the
degrees of correlation in the same two-particle states with different particle
types will decrease in the following order: bosons, fermions, and
distinguishable particles.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 03:37:13 GMT""},{""version"":""v2"",""created"":""Thu, 9 Oct 2008 14:45:36 GMT""}]","2015-05-13"
"0805.3869","Maria del Mar Gonzalez","Maria D. M. Gonzalez (Universitat Politecnica de Catalunya)","Gamma convergence of an energy functional related to the fractional
  Laplacian","37 pages. See also http://www.ma1.upc.edu/~mgonzalez/",,,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We prove a Gamma-convergence result for an energy functional related to some
fractional powers of the Laplacian operator, with two singular perturbations
(one in the interior and one on the boundary).
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 03:54:48 GMT""},{""version"":""v2"",""created"":""Sat, 10 Jan 2009 02:26:58 GMT""}]","2009-01-10"
"0805.3870","Omjyoti Dutta","O. Dutta, R. Kanamoto, P. Meystre","Stability of the density-wave state of a dipolar condensate in a pancake
  trap",,,"10.1103/PhysRevA.78.043608",,"cond-mat.other","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study a dipolar boson-fermion mixture in a pancake geometry at absolute
zero temperature, generalizing our previous work on the stability of polar
condensates and the formation of a density-wave state in cylindrical traps.
After examining the dependence of the polar condensate stability on the
strength of the fermion-induced interaction, we determine the transition point
from a ground-state Gaussian to a hexagonal density-wave state. We use a
variational principle to analyze the stability properties of those density-wave
state.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 03:59:40 GMT""}]","2009-11-13"
"0805.3871","Yuhei  Morino","Yuhei Morino (for the PHENIX Collaboration)","Measurement of charm and bottom production in p+p collisions at
  $\sqrt{s}$ = 200 GeV at RHIC-PHENIX","4pages, 4figures,coference","J.Phys.G35:104116,2008","10.1088/0954-3899/35/10/104116",,"hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  RHIC-PHENIX has observed a large suppression pattern and azimuthal anisotropy
of non-photonic electron at mid-rapidity ($\mid\eta\mid<0.35$) in Au+Au
collisions at $\sqrt{s_{NN}} = 200$ GeV. To understand these results and the
interaction of heavy quarks in the hot and dense medium, experimental
determination of production ratio of charm over bottom is one of the most
important topics, since the behavior of bottom may differ from charm in the
medium. We measured the ratio of charm over bottom and total cross section of
bottom via partial reconstruction of D$^0$$\to$e$^+$ K$^-$ $\nu_e$ decay in p+p
collisions at $\sqrt{s} = 200$ GeV. Total cross sections of charm and bottom
were also measured via di-electron continuum in p+p collisions at $\sqrt{s} =
200$ GeV.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 04:26:00 GMT""}]","2019-08-13"
"0805.3872","Kouichi Okunishi","Kouichi Okunishi","On calculation of vector spin chirality for zigzag spin chains","7 pages, 9 figures, accepted for publication in J. Phys. Soc. Jpn","J. Phys. Soc. Jpn. 77, (2008) 114004","10.1143/JPSJ.77.114004",,"cond-mat.stat-mech cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We calculate the vector spin chirality for $S=1/2$ zigzag spin chains having
U(1) symmetry, using the density matrix renormalization group combined with
unitary transformation. We then demonstrate the occurrence of the chiral order
for the zigzag XY chain and discuss the associated phase transition. The
results are consistent with the analysis based on the bosonization and the long
distance behaviour of the chirality correlation function. For the $S=1/2$
zigzag Heisenberg chain in a magnetic field, we also verify the chiral order
that is predicted by the effective field theory and the chirality correlation
function, and then determine its magnetic phase diagram.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 04:39:28 GMT""},{""version"":""v2"",""created"":""Thu, 25 Sep 2008 04:33:21 GMT""}]","2008-12-09"
"0805.3873","Shahar Hod","Shahar Hod","Weak Cosmic Censorship: As Strong as Ever","4 pages","Phys.Rev.Lett.100:121101,2008","10.1103/PhysRevLett.100.121101",,"gr-qc astro-ph hep-th quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Spacetime singularities that arise in gravitational collapse are always
hidden inside of black holes. This is the essence of the weak cosmic censorship
conjecture. The hypothesis, put forward by Penrose 40 years ago, is still one
of the most important open questions in general relativity. In this Letter, we
reanalyze extreme situations which have been considered as counterexamples to
the weak cosmic censorship conjecture. In particular, we consider the
absorption of scalar particles with large angular momentum by a black hole.
Ignoring back reaction effects may lead one to conclude that the incident wave
may overspin the black hole, thereby exposing its inner singularity to distant
observers. However, we show that when back reaction effects are properly taken
into account, the stability of the black-hole event horizon is irrefutable. We
therefore conclude that cosmic censorship is actually respected in this type of
gedanken experiments.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 04:29:30 GMT""}]","2008-11-26"
"0805.3874","Roni Waldman","Roni Waldman","Around the Pair Instability Valley - Massive SN Progenitors","4 pages, 3 figures, to appear in proceedings of IAU symp. no. 252 -
  The art of modeling stars in the 21st century, Sanya, China 2008",,"10.1017/S1743921308023120",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The discovery of the extremely luminous supernova SN 2006gy, possibly
interpreted as a pair instability supernova, renewed the interest in very
massive stars. We explore the evolution of these objects, which end their life
as pair instability supernovae or as core collapse supernovae with relatively
massive iron cores, up to about $3 M_\odot$.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 05:40:21 GMT""}]","2009-11-13"
"0805.3875","I. L. Landau","J.B. Willems, J. Albrecht, I.L. Landau and J. Hulliger","Superconducting phase formation in random neck syntheses: a study of the
  Y-Ba-Cu-O system by magneto-optics and magnetometry","6 pages, 11 figures",,"10.1088/0953-2048/22/4/045013",,"cond-mat.supr-con cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Magneto-optical imaging and magnetization measurements were applied to
investigate local formation of superconducting phase effected by a random neck
synthesis in Y-Ba-Cu-O system. Polished pellets of strongly inhomogeneous
ceramic samples show clearly the appearance of superconducting material in the
intergrain zones of binary primary particles reacted under different
conditions. Susceptibility measurements allows evaluation of superconducting
critical temperature, which turned out to be close to that of optimally doped
YBCO.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 15:44:54 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2008 13:55:08 GMT""}]","2009-11-13"
"0805.3876","Jungil Lee","Geoffrey T. Bodwin, Xavier Garcia i Tormo (Argonne), Jungil Lee (Korea
  U.)","Factorization theorems for exclusive heavy-quarkonium production","4 pages, 2 figures","Phys.Rev.Lett.101:102002,2008","10.1103/PhysRevLett.101.102002","ANL-HEP-PR-08-28","hep-ph","http://creativecommons.org/licenses/publicdomain/","  We outline the proofs of the factorization theorems for exclusive two-body
charmonium production in B-meson decay and e^+e^- annihilation to all orders in
perturbation theory in quantum chromodynamics. We find that factorized
expressions hold up to corrections of order m_c/m_b in B-meson decay and
corrections of order m_c^2/s in e^+e^- annihilation, where m_c is the
charm-quark mass, m_b is the bottom-quark mass, and root-s is the e^+e^-
center-of-momentum energy.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 05:51:24 GMT""}]","2008-11-26"
"0805.3877","Takeshi Oota","Tsuyoshi Houri, Takeshi Oota and Yukinori Yasui","Closed conformal Killing-Yano tensor and uniqueness of generalized
  Kerr-NUT-de Sitter spacetime","24 pages, LaTeX; v2: references added, published version","Class.Quant.Grav.26:045015,2009","10.1088/0264-9381/26/4/045015","OCU-PHYS 299","hep-th math.DG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The higher-dimensional Kerr-NUT-de Sitter spacetime describes the general
rotating asymptotically de Sitter black hole with NUT parameters. It is known
that such a spacetime possesses a rank-2 closed conformal Killing-Yano (CKY)
tensor as a ``hidden'' symmetry which provides the separation of variables for
the geodesic equations and Klein-Gordon equations. We present a classification
of higher-dimensional spacetimes admitting a rank-2 closed CKY tensor. This
provides a generalization of the Kerr-NUT-de Sitter spacetime. In particular,
we show that the Kerr-NUT-de Sitter spacetime is the only spacetime with a
non-degenerate CKY tensor.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 14:09:17 GMT""},{""version"":""v2"",""created"":""Tue, 24 Feb 2009 09:25:41 GMT""}]","2009-02-24"
"0805.3878","Supriya Jain","Supriya Jain (for the DO and CDF Collaborations)","Evidence for Single Top Production at the Tevatron","4 pages","Proceedings for the Moriond 2008 QCD session",,"FERMILAB-CONF-08-145-E","hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present first evidence for the production of single top quarks at the
Fermilab Tevatron {\ppbar} collider. Both D0 and CDF experiments have measured
the single top production cross section with a 3-standard-deviation
significance using 0.9 fb$^{-1}$ and 2.2 fb$^{-1}$ of lepton+jets data,
respectively. A direct measurement of the CKM matrix element that describes the
$Wtb$ coupling is also performed for the first time.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 06:18:17 GMT""},{""version"":""v2"",""created"":""Tue, 27 May 2008 16:41:07 GMT""}]","2019-08-14"
"0805.3879","Kazuo Fujikawa","Kazuo Fujikawa","Non-hermitian radial momentum operator and path integrals in polar
  coordinates","A comment on the difference of the hermitian radial momentum operator
  in the present context of path integrals and in the conventional operator
  Schroedinger problem is added. To be published in Prog. Theor. Phys.. 17
  pages","Prog.Theor.Phys.120:181-195,2008","10.1143/PTP.120.181",,"hep-th quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A salient feature of the Schr\""{o}dinger equation is that the classical
radial momentum term $p_{r}^{2}$ in polar coordinates is replaced by the
operator $\hat{P}^{\dagger}_{r} \hat{P}_{r}$, where the operator $\hat{P}_{r}$
is not hermitian in general. This fact has important implications for the path
integral and semi-classical approximations. When one defines a formal hermitian
radial momentum operator $\hat{p}_{r}=(1/2)((\frac{\hat{\vec{x}}}{r})
\hat{\vec{p}}+\hat{\vec{p}}(\frac{\hat{\vec{x}}}{r}))$, the relation
$\hat{P}^{\dagger}_{r}
\hat{P}_{r}=\hat{p}_{r}^{2}+\hbar^{2}(d-1)(d-3)/(4r^{2})$ holds in
$d$-dimensional space and this extra potential appears in the path integral
formulated in polar coordinates. The extra potential, which influences the
classical solutions in the semi-classical treatment such as in the analysis of
solitons and collective modes, vanishes for $d=3$ and attractive for $d=2$ and
repulsive for all other cases $d\geq 4$. This extra term induced by the
non-hermitian operator is a purely quantum effect, and it is somewhat analogous
to the quantum anomaly in chiral gauge theory.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 06:19:21 GMT""},{""version"":""v2"",""created"":""Tue, 15 Jul 2008 09:29:26 GMT""}]","2008-11-26"
"0805.3880","Demetrios Christodoulou","Demetrios Christodoulou","The Formation of Black Holes in General Relativity","594 pages, 5 figures",,,,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The subject of this work is the formation of black holes in pure general
relativity, by the focusing of incoming gravitational waves. The theorems
established in this monograph constitute the first foray into the long time
dynamics of general relativity in the large, that is, when the initial data are
no longer confined to a suitably small neighborhood of Minkowskian data. The
theorems are general, no symmetry conditions on the initial data being imposed.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 06:39:32 GMT""}]","2008-05-27"
"0805.3881","Kouji Yano","Kouji Yano","Excursions away from a regular point for one-dimensional symmetric Levy
  processes without Gaussian part",,,,,"math.PR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The characteristic measure of excursions away from a regular point is studied
for a class of symmetric L\'evy processes without Gaussian part. It is proved
that the harmonic transform of the killed process enjoys Feller property. The
result is applied to prove extremeness of the excursion measure and to prove
several sample path behaviors of the excursion and the $ h $-path processes.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 13:29:17 GMT""},{""version"":""v2"",""created"":""Tue, 1 Jul 2008 04:50:51 GMT""},{""version"":""v3"",""created"":""Tue, 1 Sep 2009 13:52:02 GMT""}]","2009-09-01"
"0805.3882","Jeewan C. Pandey","J. C. Pandey and K. P. Singh","A study of X-ray flares - I. Active late-type dwarfs","46 pages, 12 figures, 8 tables, Accepted for the publication in MNRAS",,"10.1111/j.1365-2966.2008.13342.x",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present temporal and spectral characteristics of X-ray flares observed
from six late-type G-K active dwarfs (V368 Cep, XI Boo, IM Vir, V471 Tau, CC
Eri and EP Eri) using data from observations with the XMM-Newton observatory.
All the stars were found to be flaring frequently and altogether a total of
seventeen flares were detected above the ``quiescent'' state X-ray emission
which varied from 0.5 to 8.3 x 10^{29} erg/s. The largest flare was observed in
a low activity dwarf XI Boo with a decay time of 10 ks and ratio of peak flare
luminosity to ``quiescent'' state luminosity of 2. We have studied the spectral
changes during the flares by using colour-colour diagram and by detailed
spectral analysis during the temporal evolution of the flares. The exponential
decay of the X-ray light curves, and time evolution of the plasma temperature
and emission measure are similar to those observed in compact solar flares. We
have derived the semiloop lengths of flares based on the hydrodynamic flare
model. The size of the flaring loops is found to be less than the stellar
radius. The hydrodynamic flare decay analysis indicates the presence of
sustained heating during the decay of most flares.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 06:57:56 GMT""}]","2009-11-13"
"0805.3883","Takayuki Yamazaki","Takayuki Yamazaki (for the ATLAS and CMS Collaborations)","Data-driven Estimation of SM Backgrounds for SUSY Searches at the LHC","4 pages,6 figures, and proceedings of Moriond QCD 2008",,,,"hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Searches for supersymmetry (SUSY) are very important tasks at the Large
Hadron colleder(LHC). If SUSY exists at the TeV scale, clear excess above the
Standard Model (SM) background will be observed. SM background should be
estimated from real data self. In this paper, we descrive the strategy for the
early SUSY searches at the LHC and focus on the data-driven estimation of the
SM background in the early stage of collision.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 07:25:18 GMT""}]","2019-08-14"
"0805.3884","Srinibas Satapathy","S. Satapathy, B. N. Raja Sekhar, V. G. Sathe, Shailendra Kumar and P.
  K. Gupta","Resonant Raman of OH/OD vibrations and photoluminescence studies in
  LiTaO3 thin film","20 pages","Journal of applied Physics 104, 033542 (2008)","10.1063/1.2966693",,"cond-mat.mtrl-sci cond-mat.other","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Resonant Raman spectra (RRS) of O-H and O-D vibration and libration modes,
their combinations and higher harmonics have been observed in LiTaO3
polycrystalline thin films. RRS peaks are superimposed on photoluminescence
(PL) spectrum. Monochromatic light from a xenon lamp is used as excitation
source. PL spectrum shows two broad peaks, first near the band gap in UV
(4.4-4.8eV) and another in the sub band gap region (< 4.0 eV). Band gap PL
along with RRS peaks are reported for the first time. Photoluminescence
excitation spectrum (PLE) shows a peak at 4.8 eV. Peak positions and full width
at half maximum (FWHM) of RRS peaks depend upon the excitation energy.
Dispersions of the fundamental and the third harmonic of the stretching mode of
O-H with excitation energy are about 800 cm-1/eV and 2000 cm-1/eV respectively.
This dispersion is much higher than reported in any other material.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 07:14:44 GMT""}]","2008-08-21"
"0805.3885","Shi-Jian Gu","Ho-Man Kwok, Chun-Sing Ho, and Shi-Jian Gu","Partial-state fidelity and quantum phase transitions induced by
  continuous level crossing","5 pages, 4 figures","Phys. Rev. A 78, 062302 (2008)","10.1103/PhysRevA.78.062302",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The global-state fidelity cannot characterize those quantum phase transitions
(QPTs) induced by continuous level crossing due to its collapse around each
crossing point. In this paper, we take the isotropic Lipkin-Meshkov-Glick (LMG)
model and the antiferromagnetic one-dimensional Heisenberg model as examples to
show that the partial-state fidelity can signal such level-crossing QPTs.
Extending to the thermodynamic limit we introduce the partial-state fidelity
susceptibility and study its scaling behavior. The maximum of the partial-state
fidelity susceptibility goes like $N$ for the LMG model and $N^3$ for the
Heisenberg model.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 07:28:57 GMT""},{""version"":""v2"",""created"":""Wed, 28 May 2008 14:04:23 GMT""}]","2008-12-10"
"0805.3886","Krzysztof Kulakowski","Krzysztof Kulakowski and Maria Nawojczyk","Sociophysics - an astriding science","6 pages, no figures",,,,"physics.soc-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The status of the sociophysics is discussed as placed between the physics and
the sociology. In particular we ask if the second law of thermodynamics can be
useful in social sciences.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 07:49:08 GMT""}]","2008-05-27"
"0805.3888","Eduard-Wilhelm Kirr","E. Kirr and A. Zarnescu","Asymptotic stability of ground states in 2D nonlinear Schr\""odinger
  equation including subcritical cases",,,,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider a class of nonlinear Schr\""odinger equation in two space
dimensions with an attractive potential. The nonlinearity is local but rather
general encompassing for the first time both subcritical and supercritical (in
$L^2$) nonlinearities. We study the asymptotic stability of the nonlinear bound
states, i.e. periodic in time localized in space solutions. Our result shows
that all solutions with small initial data, converge to a nonlinear bound
state. Therefore, the nonlinear bound states are asymptotically stable. The
proof hinges on dispersive estimates that we obtain for the time dependent,
Hamiltonian, linearized dynamics around a careful chosen one parameter family
of bound states that ""shadows"" the nonlinear evolution of the system. Due to
the generality of the methods we develop we expect them to extend to the case
of perturbations of large bound states and to other nonlinear dispersive wave
type equations.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 08:02:32 GMT""}]","2008-05-27"
"0805.3890","Reza Asgari","A. Qaiumzadeh, N. Arabchi, R. Asgari","Quasiparticle properties of graphene in the presence of disorder","15 pages, 4 figures. To appear in Solid State Communications","Solid State Communications 147, 172 (2008)","10.1016/j.ssc.2008.05.036",,"cond-mat.mes-hall cond-mat.dis-nn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We calculate the quasiparticle properties of chiral two-dimensional Dirac
electrons in graphene within the Landau Fermi Liquid scheme based on $GW$
approximation in the presence of disorder. Disorder effects due to charged
impurity scattering plays a crucial role in density dependence of quasiparticle
quantities. Mode-coupling approach to scattering rate and self-energy in $GW$
approximation for quasiparticle renormalized Fermi velocity and
spin-antisymmetric Landau Fermi parameter incorporating the many-body
interactions and the disorder effects show reduction of these quantities by
5-15 percent at available experimental charge carrier density region.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 08:11:49 GMT""}]","2009-11-13"
